Sio2_Arctic,Sio2_Atlantic,Sio2_Indiana,Sio2_Southern,,,TiO2_Arctic,TiO2_Atlantic,TiO2_Indiana,TiO2_Southern,,,Al2O3_Arctic,Al2O3_Atlantic,Al2O3_Indiana,Al2O3_Southern
51.13,43.39,50.14,,,,2.01,3.49,1.45,,,,14.5,13.6,15.41,
48.31,46.98,49.6,,,,1.03,4.09,0.95,,,,14.66,16.83,17.1,
51.22,42.93,50.17,,,,1.53,3.23,3.05,,,,14.07,11.94,13.21,
51.22,45.3,47.12,,,,1.53,3.61,0.85,,,,14.07,17.09,17.19,
51.18,45.98,50,,,,0.81,3.17,1.23,,,,14.69,13.9,15.55,
50.39,45.68,50.1,,,,0.81,3.8,1.37,,,,14.38,15.62,15.65,
49.91,43.24,49.7,,,,1.006,3.37,0.82,,,,13.71,11.57,18.65,
49.91,43.63,50.74,,,,1.006,3.76,1.74,,,,13.71,13.48,15.67,
,42.43,48.95,,,,1.36,3.86,2.33,,,,,13.56,14.45,
50.3505,43.08,48.89,,,,1.3497,3.7,3.09,,,,17.3102,13.73,13.88,
,43.79,49.42,,,,1.34,3.62,2.22,,,,,14.77,13.92,
,42.44,49.85,,,,1.5,3.72,1.6,,,,,12.68,13.79,
48.01,41.73,50.63,,,,3.29,4.13,2.07,,,,15.19,14.44,13.09,
51.43,45.77,49.67,,,,1.61,3.16,1.72,,,,14.17,16.94,14.75,
50.94,43.35,50.14,,,,1.26,3.26,1.63,,,,15.34,11.36,15.64,
,43.11,51.17,,,,1.39,3.77,1.79,,,,,14.97,15.79,
53.89,44.57,50.2,,,,2.12,3.4,1.72,,,,14.57,16.09,14.95,
49.8898,44.28,48.84,,,,1.0524,4.02,2.2,,,,17.4046,15.37,13.98,
,42.7,50.73,,,,1.06,3.68,1.59,,,,,11.51,15.46,
50.33,45.23,49.46,,,,1.06,3.48,1.64,,,,17.11,14.72,15.81,
49.314,43.5,48.52,,,,2.076,3.68,1.73,,,,13.948,14.97,14.91,
44.69,45,49.1,,,,1.713,3.03,1.68,,,,12.82,11.96,15.89,
50.5395,46.78,49.93,,,,1.7342,3.03,1.76,,,,16.0974,12.55,15.15,
,39.84,49.9,,,,1.74,4.94,1.75,,,,,11.77,14.76,
45.012,42.5,49.7335,,,,0.402,3.65,2.00931,,,,12.451,14.03,15.7784,
50.1056,47.9,50.22,,,,1.5424,3.3,2.28,,,,15.6501,15.9,14.63,
,45.63,50.1555,,,,1.54,2.67,2.06166,,,,,12.52,15.8633,
50.61,45,51.06,,,,1.04,3.6,2.33,,,,14.22,15.1,15.25,
,48.7,50.82,,,,1.55,2.57,2.25,,,,,17.76,14.93,
47.24,46.6,50.64,,,,1.86,1.8,2.24,,,,13.9,15.6,14.72,
45.69,44.8,49.6976,,,,1.153,3.2,1.99119,,,,14.39,15.7,15.7566,
50.73,52.44,50.95,,,,1.93,1.71,2.32,,,,12.8,14.95,14.83,
,52.81,50.41,,,,1.55,1.68,2.15,,,,,14.86,14.54,
50.57,52.35,44.22,,,,,1.75,0.8,,,,,15.07,10.12,
50.5711,43.65,50.41,,,,1.3736,3.71,1.19,,,,16.0072,16.07,14.83,
,43.51,49.83,,,,1.39,3.42,1.21,,,,,12.43,15.5,
,46.08,51.7,,,,1.5,2.83,1.6,,,,,15.03,14.6,
48.76,43.37,50.9,,,,1.11,3.47,1.4,,,,14.97,14.72,15.1,
49.5331,49.48,50.6,,,,1.4221,3.32,1.2,,,,16.9594,18.4,14.9,
,47.9,49.9,,,,1.45,2.43,1.4,,,,,18.7,16.4,
50.88,47.83,50.6,,,,1.12,2.54,1,,,,14.7,17.63,15.6,
,46.74,51.1,,,,2.52,3.07,1.3,,,,,18.11,15.2,
50.55,45.23,50.7,,,,1.56,3.48,1.1,,,,14.02,14.72,15.8,
67.722,42.87,50.7,,,,0.042,3.3,1.1,,,,18.638,12.2,15.7,
50.67,43.6,51.1,,,,1.43,4,1.4,,,,15.18,15.17,14.6,
50.31,44.31,51.8,,,,1.29,3.69,1.2,,,,16.53,14.51,14.7,
50.64,46.49,50.2,,,,1.23,3.01,1.3,,,,16.54,17.59,14.9,
51.3081,44.35,50.1,,,,1.6051,2.44,1.1,,,,15.2679,9.13,15.3,
51.21,43.53,50.7,,,,1.65,3.24,1.2,,,,15.29,12.16,15,
,46.11,49.9,,,,1.6,3.38,1.2,,,,,17.26,15.8,
51.7,42.62,49.6,,,,1.42,4.03,1.2,,,,15.2,14.62,15.7,
,40.83,50.4,,,,,4.24,1.4,,,,,14.73,15.3,
51.72,41.52,51.1,,,,1.49,3.86,1.5,,,,14.07,13.79,15.5,
52.2,42.56,50.3,,,,1.6,3.92,1,,,,14.8,13.24,15.4,
52.16,45.92,51.2,,,,1.6,3.21,1.2,,,,14.78,13.76,14.7,
47.203,44.11,51.8,,,,2.47,3.94,1.3,,,,14.736,14.51,15.3,
50.35,44.77,52.2,,,,1.51,3.48,1.4,,,,14.29,15.05,15.1,
51.85,45.04,51.6,,,,1.35,2.83,1.2,,,,15.8,11.9,14.6,
48.26,45.15,50.9,,,,1.566,3.38,1.6,,,,14.84,13.94,15.4,
50.2,44.26,51.2,,,,1.57,3.74,1.7,,,,16.3,13.51,14.8,
51.88,45.12,51.5,,,,1.39,2.18,1.7,,,,15.57,9.82,14.9,
51.55,52.3,51.7,,,,1.58,1.72,1.8,,,,14.99,14.91,15,
51.6,52,51.2,,,,1.58,1.01,1.4,,,,15,15.5,15.7,
49.34,51.5,49.13,,,,1.51,1.37,1.33,,,,14.8,15.49,14.82,
48.93,51.54,48.6,,,,1.55,1.53,1.4,,,,13.2,15.34,16.7,
44.74,51.09,50.4,,,,1.75,1.59,1.1,,,,13.16,15.16,15.7,
49.95,48.49,51.8,,,,1.08,0.65,1.3,,,,15.3,17.64,14.5,
,51.33,50.3,,,,1,1.88,1.2,,,,,13.98,16,
48.47,51.05,51.4,,,,0.87,1.86,1.5,,,,14.31,13.86,14.7,
50.0688,50.3,51,,,,1.6527,1.59,1.3,,,,15.7863,15.29,15.3,
,49.26,51.8,,,,1.61,1.15,1.2,,,,,16.52,14.7,
,49.74,50,,,,1.56,1.14,0.9,,,,,16.53,15.9,
50.0715,49.28,50.3,,,,1.7214,1.18,1.3,,,,15.2892,16.69,15.2,
,50.12,50.4,,,,1.69,1.38,1.5,,,,,15.25,14.5,
49.04,50.25,50.9,,,,0.64,1.44,1.3,,,,15.95,15.27,15.4,
45.93,50.68,49.6,,,,2.41,1.42,1.2,,,,13.67,15.31,15.6,
49.58,51.06,50.4,,,,1.2,1.19,1.2,,,,14.24,15.51,15.4,
,49.24,51.1,,,,,1.3,1.2,,,,,16.44,14.8,
,49.57,51.1,,,,,1.2,1.3,,,,,16.43,14.7,
50.05,50.05,50.5,,,,1.34,1.42,1.6,,,,13.47,15.64,14.8,
48.26,51.22,50.9,,,,1.97,1.29,1.2,,,,14.24,14.61,14.6,
46.34,50.96,49.6,,,,0.961,1.89,1.7,,,,15.12,15.14,14.9,
50.43,49.82,50.6,,,,1.53,0.88,1.7,,,,13.63,15.44,15.1,
50.18,48.74,51.4,,,,1.084,0.88,1.3,,,,13.61,14.93,15,
50.15,50.1,51.2,,,,1.68,1.02,1.1,,,,14.19,15.02,14.9,
50.78,49.3,51,,,,1.64,1.03,1.6,,,,14.04,14.79,14.9,
49.04,52.19,51,,,,1.96,1.75,1.2,,,,15.15,14.91,14.6,
47.74,51.95,51.3,,,,1.09,1.75,1.5,,,,15.36,15.08,15,
51,51.98,50.9,,,,1.52,1.74,1.4,,,,16.52,15.01,15.3,
52.1,51.86,51,,,,1.72,1.73,1.4,,,,14.59,14.94,15.8,
49.73,51.25,50.9,,,,3.05,1.43,1.4,,,,14.02,15.66,15.2,
50.4394,51.05,50.9,,,,1.6833,1.5,1.5,,,,15.5578,15.69,15.1,
,52.13,50.3,,,,1.71,1.53,1.4,,,,,15.32,15.1,
51.61,51.59,50.24,,,,1.36,1.81,1.93,,,,15.66,13.86,15.42,
51.17,52.03,50.54,,,,1.31,1.86,2.2,,,,15.29,13.78,15.25,
50.68,51.35,50.85,,,,1.32,1.9,1.89,,,,15.61,13.74,15.33,
50.048,51.69,50.6,,,,3.47,1.83,1.9,,,,14.518,13.91,15.31,
50.69,50.18,49.9,,,,1.04,1.55,1.7,,,,15.25,15.2,15.7,
45.28,50.33,50.13,,,,0.753,1.56,2.06,,,,12.54,15.45,14.77,
49.8222,49.07,50.7,,,,1.3746,1.17,2.01,,,,17.1656,16.71,15.61,
,49.17,50.54,,,,1.36,1.19,2.03,,,,,16.49,15.52,
45.56,49.67,50.09,,,,0.83,1.17,2.12,,,,9.49,16.64,15.35,
51,48.94,50.8,,,,1.56,1.24,1.24,,,,13.86,16.4,17.49,
50.4607,50.5,51,,,,1.5451,1.42,1.35,,,,16.8745,15.14,17.23,
,50.76,50.69,,,,1.53,1.18,1.4,,,,,15.3,17.08,
50.32,49.14,50.34,,,,1.53,1.26,1.35,,,,14.46,16.54,16.92,
50.32,48.99,51.59,,,,1.53,1.24,1.54,,,,14.46,16.24,17.04,
51.23,49.64,50.85,,,,1.18,1.19,1.46,,,,14.32,14.82,17.01,
,50.14,50.22,,,,1.63,1.2,1.45,,,,,14.94,16.89,
49.99,50.62,50.93,,,,1.34,1.2,1.51,,,,14.57,15.22,16.53,
48.26,49.87,51.14,,,,1.24,1.07,1.51,,,,14.44,15.31,16.43,
49.6042,49.8,51.39,,,,1.5072,1.04,1.58,,,,16.8996,15.06,16.4,
,50.09,51.16,,,,1.47,0.91,1.49,,,,,15.54,16.42,
50.1171,49.68,51.15,,,,1.5583,0.89,1.6,,,,16.8266,15.21,16.34,
,50.28,48.32,,,,1.52,1,1.76,,,,,15.04,15.17,
50.3764,50.01,50.52,,,,1.8686,1.11,1.86,,,,14.9169,15.93,14.59,
,48.91,50.52,,,,1.85,0.86,1.86,,,,,14.95,14.59,
51.22,49.98,49.2,,,,1.07,1.03,1.84,,,,14.78,15.03,15.75,
48.57,49.42,49.2,,,,2.02,0.88,1.84,,,,13.52,15.11,15.75,
,49.97,49.19,,,,1.3,1.03,2.02,,,,,15.1,15.66,
50.86,50.42,49.19,,,,1.5,2.28,2.02,,,,14.05,15,15.66,
50.0639,52.51,45.85,,,,1.2556,1.7,1.59,,,,17.4154,15.08,14.6,
,51.14,39.43,,,,1.46,1.2,1.78,,,,,14.82,15.46,
48.7,50.33,48.88,,,,1.44,1.33,1.54,,,,14.18,15.83,16.31,
51.03,49.86,48.88,,,,1.18,1.34,1.54,,,,14.2,15.97,16.31,
39.36,49.96,48.96,,,,0.09,1.33,1.51,,,,3.19,16.18,16.17,
45.9,50.3,49.5,,,,0.74,1.18,1.47,,,,9.89,15.59,16.64,
48.93,50.28,48.96,,,,1.6,1.22,1.51,,,,15.34,15.75,16.17,
48.67,50.85,46.9,,,,0.98,1.27,1,,,,14.97,15.01,16,
,49.68,46.88,,,,0.88,1.64,0.96,,,,,15.62,15.89,
50.37,50.2,50,,,,2.37,1.7,0.9,,,,14.74,15.57,16.06,
46.87,49.82,51.43,,,,1.074,1.72,1.31,,,,15.53,15.71,14.89,
46.25,50.06,49.5,,,,2.88,1.71,1.13,,,,14.56,15.61,16.11,
47.15,51.4,49.4,,,,1.38,1.11,1.2,,,,14.78,15.3,15.5,
52.09,51,49.3,,,,1.4,1.11,0.9,,,,13.51,15.4,16.4,
,51,49.7,,,,0.86,1.41,0.88,,,,,15.2,17.82,
,50.9,50.12,,,,1.93,1.21,1.56,,,,,15.8,14.99,
50.51,51,48.32,,,,1.66,1.27,1.76,,,,14.42,15.4,15.17,
50.4026,50.3,50.97,,,,1.4908,1.15,1.88,,,,16.2463,15.8,15.34,
,50.9,50.76,,,,1.48,1.13,1.91,,,,,15.5,15.34,
50.97,49.98,50.59,,,,1.36,1.38,2.28,,,,13.99,15.45,14.86,
,48.99,50.49,,,,2.42,1.67,2.3,,,,,15.44,14.8,
49.177,50,49.92,,,,1.6853,1.63,2.03,,,,16.7358,14.97,14.81,
,49.93,49.99,,,,1.66,1.61,2.02,,,,,15.21,14.79,
50.5,50.05,50.9,,,,1.74,1.6,1.95,,,,15.9,15.11,15.32,
50.6332,50.57,49.6,,,,2.3489,1.98,2.04,,,,14.3269,15.92,14.66,
50.4902,50.5,50.1,,,,1.4465,1.78,1.96,,,,16.6721,16.38,15.17,
49.1,51.07,50.44,,,,0.91,2.36,1.95,,,,14.52,15.55,15.35,
50.1108,51.04,50.31,,,,1.7168,2.37,2.19,,,,15.4277,15.56,15.46,
,50.48,50.85,,,,1.68,2.37,1.94,,,,,15.82,15.52,
46.05,51.47,51.33,,,,0.78,2.26,1.15,,,,10.9,15.54,17.04,
49.48,51.47,51.63,,,,2.16,2.1,1.22,,,,13.58,15.47,17.02,
50.97,51.56,50.68,,,,1.95,2.1,1.23,,,,12.89,15.54,17.49,
53.72,51.42,51.08,,,,2.14,2.37,1.32,,,,14.59,15.13,17.48,
49.87,51.46,51.64,,,,1.64,2.13,1.35,,,,15.03,15.34,17.28,
49.9,52.08,51.08,,,,0.82,1.73,1.34,,,,14.59,15.22,17.33,
49.01,52.41,51.3,,,,0.86,1.73,1.36,,,,15.15,14.87,17.32,
49.73,50.48,51.09,,,,1.28,1.73,1.46,,,,15.89,15.38,17.1,
49.73,50.52,51.3,,,,1.28,1.8,1.32,,,,15.89,15.29,17.24,
34.47,50.18,51.17,,,,0.02,1.61,1.41,,,,0.72,15.64,17.09,
48.6503,50.23,50.32,,,,1.0599,1.62,1.42,,,,17.6927,15.64,16.92,
,50.44,50.27,,,,1.04,1.62,1.43,,,,,15.89,16.96,
50.69,49.89,50.92,,,,1.09,1.72,1.54,,,,14.84,15.73,16.97,
50.2,49.93,51,,,,2.01,1.7,1.5,,,,15.3,15.67,17.05,
51.36,51.65,50.34,,,,1.2,1.56,1.4,,,,14.25,15.2,16.95,
37.88,51.3,50.68,,,,0.05,1.11,1.49,,,,2.54,15.3,16.91,
31.63,51.4,51.48,,,,0.01,1.11,1.36,,,,0.55,15.2,17.24,
49.546,50.5,51.54,,,,1.2101,1.21,1.48,,,,17.4406,16.1,17.12,
,50.7,49.29,,,,1.14,1.23,1.23,,,,,15.9,15.19,
50.0065,50.6,49.81,,,,1.7382,1.22,1.27,,,,16.0755,15.9,15.27,
,50.9,45.86,,,,1.77,1.22,2.29,,,,,15.8,15.07,
47.64,50.7,40.77,,,,1.241,1.34,2.17,,,,15.03,15.7,14.28,
45.26,49.21,42.92,,,,1.751,1.71,2.24,,,,13.11,15.23,14.63,
,51.03,48.86,,,,1.49,1.79,2.45,,,,,15.51,17.23,
51.07,50.85,42.56,,,,1.29,1.49,2.53,,,,14.02,14.75,16.85,
50.18,50.6,52.93,,,,1.73,1.5,0.59,,,,15.27,14.89,19.52,
50.404,49.68,51.33,,,,2.927,1.63,0.61,,,,13.253,15.23,15.6,
47.65,50.95,51.56,,,,0.79,2.27,0.61,,,,14.22,15.29,18.79,
50,50.92,44.93,,,,1.2,2.26,0.52,,,,14.1,15.34,15.62,
,50.8,45.3,,,,1.68,2.26,0.57,,,,,15.25,16.83,
51.23,50.46,45.66,,,,1.59,2.28,0.57,,,,14.12,15.44,16.14,
48.186,50.28,43.64,,,,1.1046,2.41,0.63,,,,17.4582,15.35,16.68,
,49.75,51.41,,,,1.1,2.06,0.58,,,,,16.58,15.56,
51.15,50.27,49.83,,,,1.425,2.51,1.06,,,,15.33,15.52,15.98,
51.2,50.36,49.66,,,,1.32,2.31,1.08,,,,15.71,15.83,16,
42.03,50.72,48.82,,,,0.04,2.3,1.11,,,,1.78,15.73,15.56,
51.01,51.6,50.74,,,,1.35,2.31,1.06,,,,15.26,15.36,15.89,
49.71,46.76,45.63,,,,1.77,2.68,1.01,,,,15.53,18.03,17.18,
51.15,46.06,56.69,,,,1.49,3.67,1.4,,,,14.22,20.28,16.1,
50.69,50.06,54.79,,,,1.46,1.7,1.39,,,,13.99,16.02,15.82,
49.78,44.9,55.7,,,,1.06,2.54,1.4,,,,15.15,17.61,15.4,
,48.65,49.51,,,,1.04,1.81,1.25,,,,,16.7,15.22,
48.33,49.96,55.7,,,,1.04,2.01,1.4,,,,17.85,15.41,15.4,
51.2,49.71,54.59,,,,1.4,2.5,1.43,,,,13.76,16.4,15.67,
50.7497,53.37,57.41,,,,1.8835,1.79,1.46,,,,14.9299,18.79,15.81,
,48.68,58.02,,,,1.79,1.79,1.47,,,,,13.54,15.95,
49.3037,49.91,58.36,,,,1.4564,2.28,1.39,,,,16.7502,16.07,16.22,
,52.04,51.34,,,,1.46,1.74,1.56,,,,,14.95,18.73,
,51.88,51.34,,,,,1.74,1.56,,,,,15.01,18.73,
41.59,,45.5,,,,0.05,1.16,2.12,,,,0.98,,14.7,
2.82,41.4,42.7,,,,6.86,2.2,2.02,,,,20.72,15.5,13.53,
47.78,43.3,42.7,,,,3.01,2.51,2.02,,,,15.69,17.1,13.53,
50.23,45.8,43.96,,,,0.751,3.68,2.03,,,,16,12,13.51,
50.23,48.5,43.94,,,,0.751,3.05,2.5,,,,16,14.9,13.65,
50.3994,67.6,47.71,,,,2.1305,0.22,2.25,,,,14.7484,15.8,13.47,
,48.2,45.32,,,,2.13,2.31,2.14,,,,,15.7,14.7,
50.2796,46.2,43.94,,,,1.5188,2.05,2.5,,,,16.6713,14.4,13.65,
,45,49.98,,,,1.5,3.49,1.68,,,,,16.7,17.05,
53.91,71.5,51.04,,,,2.88,0.19,1.66,,,,13.59,13.3,17.05,
49.5586,51.4,51.26,,,,1.4383,1.19,1.74,,,,16.1236,15.6,17.14,
,49.6,50.49,,,,1.41,1.43,1.73,,,,,15.2,16.79,
,50.9,51.07,,,,1,1.74,1.76,,,,,15.6,16.77,
50.3372,48.7,47.45,,,,1.3743,1.43,1.67,,,,17.068,14.4,16.29,
,49,50.37,,,,1.34,1.25,1.64,,,,,15.5,17.06,
48.68,47.1,50.35,,,,2.89,0.69,1.75,,,,13.37,16.3,17.13,
51,47.7,50.85,,,,1.07,0.76,1.69,,,,14.17,16.7,16.79,
51.39,40.1,49.68,,,,1.25,0.13,1.63,,,,15.52,5.43,16.51,
49.6107,49.78,50.95,,,,1.3939,1.87,1.58,,,,16.517,14.84,17.02,
,49.93,47.45,,,,1.38,1.84,1.67,,,,,14.89,16.29,
48.38,50.52,47.45,,,,2.88,1.83,1.67,,,,13.05,14.95,16.29,
38.19,49.93,49.68,,,,0.05,1.21,1.63,,,,2.27,15.64,16.51,
49.57,49.59,49.68,,,,0.56,1.13,1.63,,,,17.09,15.81,16.51,
50.46,49.4,51.04,,,,1.29,1.12,1.76,,,,14.68,15.82,16.86,
50.4,50.05,50.23,,,,1.3,1.22,1.66,,,,13.97,15.69,16.58,
50.4,49.82,48.92,,,,1.3,1.12,1.66,,,,13.97,15.38,16.53,
50.2,50.02,49.12,,,,1.25,1.13,1.67,,,,14.44,15.46,16.06,
53.21,49.2,50.07,,,,2.17,1.13,1.73,,,,14.21,15.72,16.6,
52.07,50.33,50.23,,,,1.86,1.56,1.66,,,,14.74,14.89,16.58,
50.71,50.85,50.23,,,,1.35,1.58,1.66,,,,13.4,14.79,16.58,
50.084,50.8,48.92,,,,1.7042,1.56,1.66,,,,15.4641,14.96,16.53,
,50.91,48.92,,,,1.7,1.61,1.66,,,,,14.85,16.53,
46.41,49.64,49.12,,,,2.37,1.47,1.67,,,,13.97,14.93,16.06,
50.54,50.4,49.12,,,,,1.47,1.67,,,,,14.93,16.06,
50.5423,50.71,48.29,,,,1.7933,1.55,1.67,,,,15.7527,14.99,16.21,
,50.1,50.71,,,,1.79,1.59,1.69,,,,,15.05,17.02,
49.9536,50.49,50.71,,,,1.337,1.62,1.69,,,,17.3343,14.92,17.02,
,50.71,51.27,,,,1.34,1.61,1.66,,,,,15.05,16.56,
50.8853,50.5,50.86,,,,1.6052,1.66,1.64,,,,15.588,14.79,16.92,
,51.04,50.47,,,,1.63,1.65,1.68,,,,,14.83,16.85,
49.14,51.28,50.47,,,,2.07,1.67,1.68,,,,13.64,14.79,16.85,
50.13,50.61,48.29,,,,1.593,1.52,1.67,,,,20.6,15.03,16.21,
49.12,50.6,48.29,,,,1.71,1.66,1.67,,,,14.2,14.82,16.21,
49.16,50.66,45.76,,,,1.66,1.67,2.71,,,,14.17,14.76,13.07,
50.92,50.33,45.76,,,,1.5,1.67,2.71,,,,14.05,14.88,13.07,
50.46,50.37,48.56,,,,1.77,1.32,2.76,,,,15.28,15.71,13.67,
51.23,50.83,48.56,,,,1.91,1.14,2.76,,,,12.61,15.46,13.67,
50.36,50.25,48.14,,,,1.2,1.3,2.65,,,,13.78,15.22,13,
50.3003,49.89,48.14,,,,1.4648,1,2.65,,,,16.6687,15.46,13,
49.8707,49.24,50.27,,,,1.3636,1.04,2.85,,,,16.7405,15.24,14.71,
49.87,50.15,48.07,,,,,1.86,2.76,,,,,14.89,13.22,
,49.86,48.07,,,,1.34,1.86,2.76,,,,,14.85,13.22,
,50.44,49.04,,,,1.65,1.88,2.64,,,,,14.99,12.97,
50.5138,50.05,49.04,,,,1.6426,1.8,2.64,,,,15.2722,15.07,12.97,
,50.06,51.07,,,,1.62,1.81,2.7,,,,,14.9,13.82,
51.3494,49.71,50.43,,,,1.7964,1.8,2.72,,,,15.3368,15.07,12.96,
,49.84,50.43,,,,1.78,1.82,2.72,,,,,15.16,12.96,
50.15,50.71,48.67,,,,1.51,1.81,2.5,,,,14.15,15.18,12.63,
46.12,49.88,48.67,,,,0.56,1.81,2.5,,,,10.51,14.88,12.63,
,50.27,50.41,,,,1.26,1.4,1.73,,,,,15.15,13.33,
51.76,50.54,50.31,,,,0.99,1.41,2.1,,,,14.69,15.03,13.07,
51.4684,51.47,50.46,,,,1.8501,1.39,1.88,,,,14.9795,15.07,13.25,
,51.05,52.41,,,,1.84,1.37,1.25,,,,,15.15,13.8,
52.27,50.29,50.26,,,,1.55,1.85,1.19,,,,16.49,14.79,15.28,
50.66,49.97,50.97,,,,1.09,1.84,1.25,,,,14.59,14.93,16.56,
47.13,50.46,50.44,,,,0.96,1.85,1.25,,,,13.61,14.88,16.86,
50.08,50.22,50.89,,,,1.16,1.84,1.29,,,,14.3,14.89,16.48,
48.91,50.41,50.43,,,,1.97,1.85,1.5,,,,16.8,14.91,15.25,
46.8031,50.55,51.41,,,,2.3501,1.84,1.16,,,,15.7889,14.93,15.29,
51,50.17,50.62,,,,1.21,1.87,1.27,,,,15.58,14.88,16.92,
48.19,50.29,51.48,,,,0.85,1.84,1.28,,,,14.19,14.91,13.38,
50.98,50.12,51.36,,,,0.777,1.82,1.33,,,,15.99,14.97,14.82,
50.98,50.6,49.62,,,,0.777,1.85,1.28,,,,15.99,14.88,15.26,
50.33,50.01,52.28,,,,0.968,1.82,1.43,,,,14.29,14.94,15.98,
50.33,52.11,52.11,,,,0.968,1.74,1.25,,,,14.29,14.98,13.98,
,52.69,52.11,,,,1.6,1.78,1.25,,,,,14.88,13.98,
,52.71,52.99,,,,1.47,1.72,1.38,,,,,14.77,13.4,
,52.28,52.72,,,,2.09,1.74,1.4,,,,,14.86,13.89,
49.2,47.66,51.46,,,,0.76,3.24,1.25,,,,14.89,16.68,13.45,
50.2,50.65,52.72,,,,1.02,3.35,1.25,,,,14.41,16.35,13.62,
51.23,49,52.72,,,,1.19,1.83,1.25,,,,15.83,17.35,13.62,
52.45,46.19,49.57,,,,1.391,1.57,1.16,,,,15.48,14.92,15.12,
50.64,50.71,52.25,,,,1.04,2.14,1.12,,,,13.78,14.73,13.85,
49.72,49.04,51.58,,,,1.49,1.83,1.25,,,,14.32,16.38,13.34,
47.37,49.79,50.8,,,,1.57,2.03,1.34,,,,15.04,16.44,15.92,
50.5,50.59,52.59,,,,1.3,1.73,1.36,,,,16.9,17.46,14.5,
50.1,50.82,51.28,,,,2.07,2.17,1.11,,,,15,16.79,13.57,
,49.74,51.79,,,,1.44,2.12,1.25,,,,,15.31,14.38,
48.8,49.69,52.32,,,,2.19,1.95,1.13,,,,17.93,15.53,13.78,
47.72,50.2,50.9,,,,1.51,1.98,1.22,,,,16.14,16.29,15.25,
,49.03,51.66,,,,1.59,2,1.11,,,,,15.26,14.23,
47.11,47.05,52.18,,,,2.07,3.18,1.12,,,,13.02,19.19,13.93,
,47.61,49.47,,,,1.9,2.51,1.2,,,,,19.92,14.92,
50.4021,49.32,50.71,,,,1.6031,3.45,1.16,,,,16.7709,14.31,14.41,
,49.25,49.96,,,,1.59,3.49,1.12,,,,,14.62,15.09,
,49.77,49.96,,,,2.37,2.56,1.12,,,,,15.75,15.09,
49.6,48.39,48.85,,,,1.75,2.41,1.28,,,,13.7,19.77,15.39,
49.3327,49.08,50.18,,,,1.6823,2.72,1.16,,,,16.7885,20.82,14.96,
,49.78,49.76,,,,1.66,2.18,1.14,,,,,17.32,14.92,
50.84,50.59,49.76,,,,1.1,3.16,1.14,,,,14.43,12.31,14.92,
50.81,47.8,50.71,,,,1.2,2.32,1.2,,,,13.79,16.59,15.07,
49.04,47.8,50.71,,,,1.03,2.32,1.2,,,,14.33,16.59,15.07,
,50.12,50.32,,,,,2.26,1.2,,,,,16.04,15.22,
,52.7,50.32,,,,,2.36,1.2,,,,,19.14,15.22,
49.83,50.55,50.7,,,,1.079,3.02,1.2,,,,14.52,14.2,15.06,
,46.76,50.7,,,,,2.68,1.2,,,,,18.03,15.06,
43.66,39.8,49,,,,0.05,2.31,1.17,,,,2.81,15.9,15.28,
44.9,31.5,51.35,,,,0.04,4.08,1.08,,,,2.52,12.6,18.73,
50.208,47.1,49.38,,,,1.5852,3.54,1.01,,,,16.5768,13.3,21.07,
,43.2,49.35,,,,1.57,3.87,0.9,,,,,12.9,18.24,
47.6,45.8,50.17,,,,0.747,3.02,1.28,,,,14.55,12.9,14.49,
49.76,52.28,49.26,,,,0.914,1.78,0.93,,,,14.1,14.82,17.85,
50.63,51.66,53.36,,,,1.61,1.83,0.61,,,,14.12,14.92,14.43,
48.367,43.6,53.31,,,,0.613,3.78,0.59,,,,16.556,13.9,14.41,
47.03,43.4,53.31,,,,1.01,3.84,0.59,,,,15.83,12.9,14.41,
50.01,45.9,51.88,,,,1.07,3.76,0.65,,,,14.36,14.4,16.83,
54.18,52.49,52.1,,,,2.12,1.71,0.59,,,,14.57,14.87,13.83,
50.0172,51.86,55.39,,,,1.5538,1.76,0.47,,,,16.7263,15.01,12.65,
,52.75,53.62,,,,1.48,1.71,0.65,,,,,14.63,14.55,
42.3,51.69,49.45,,,,0.05,1.74,1.22,,,,2.99,15.15,15.25,
47.53,53.74,53.62,,,,1.09,0.55,0.65,,,,16.08,20.81,14.55,
49.5835,52.07,53.74,,,,1.669,0.76,0.62,,,,16.5906,19.92,14.56,
,53.01,53.74,,,,1.64,0.66,0.62,,,,,18.27,14.56,
47.26,58.75,53.38,,,,0.988,0.42,0.61,,,,15.41,18.65,14.51,
49.7,58.61,53.38,,,,1.2,0.42,0.61,,,,16.66,18.59,14.51,
52.64,52.25,52.74,,,,2.17,0.73,0.65,,,,14.25,19.86,15.78,
52.08,48.49,52.84,,,,1.84,1.1,0.59,,,,14.76,18.96,14.13,
49.93,50.49,52.84,,,,1.13,0.85,0.59,,,,15.05,19.35,14.13,
49.52,50.49,52.78,,,,1.14,0.67,0.57,,,,15.05,18.4,14.2,
45.48,59.04,52.53,,,,1.36,0.64,0.58,,,,17.65,16.64,15.84,
49.85,52.57,50.47,,,,1.33,0.73,0.95,,,,13.99,19.96,14.8,
,43.2,49.72,,,,,3.46,0.91,,,,,17.45,14.8,
,49.89,49.72,,,,,0.9,0.91,,,,,17.06,14.8,
50.51,43.08,50.17,,,,1.419,3.01,1.28,,,,13.52,16.65,14.49,
